Group,Filename,Full_Path,Ch0_Intensity,Ch0_LaplacianVar,Ch1_Intensity,Ch1_LaplacianVar,Ch2_Intensity,Ch2_LaplacianVar,Num_Channels
Control_C18,005001_r02c02f01_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c02f01_Composite_RGB.tif,3546.4765046296297,8847625.999342619,1424.8337208504802,1139012.122890187,765.2740440672154,21639.30149789176,3
Control_C18,005001_r02c02f02_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c02f02_Composite_RGB.tif,3171.079585048011,8408517.848132495,1546.8816375171468,1417142.2950685567,696.401717249657,20130.866942232213,3
Control_C18,005001_r02c02f03_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c02f03_Composite_RGB.tif,2490.5922299382714,7506851.709084888,2201.8576054526748,3073462.8320720065,507.4874957133059,19159.774047604315,3
Control_C18,005001_r02c02f04_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c02f04_Composite_RGB.tif,3054.5359507887515,9287589.711031312,1664.5201080246914,1524326.0478279316,796.7877100480109,32522.742207880525,3
Control_C18,005001_r02c02f05_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c02f05_Composite_RGB.tif,3772.93529063786,11026853.920010166,2161.4495533264744,2197989.833281475,888.1427537722908,43467.539669606624,3
Control_C18,005001_r02c02f07_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c02f07_Composite_RGB.tif,2002.8539214677642,5240653.901007258,1413.92890260631,1505629.959534542,545.751899005487,26330.438982425854,3
Control_C18,005001_r02c02f09_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c02f09_Composite_RGB.tif,4267.222966392318,11854299.600451687,2222.840191186557,1987755.018000616,1031.5015783607682,43902.60084961634,3
Control_C18,005001_r02c02f10_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c02f10_Composite_RGB.tif,3928.0480272633745,10658996.52489788,1974.3686299725653,1520581.7278027227,1050.8459765089162,58814.60132069342,3
Control_C18,005001_r02c02f11_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c02f11_Composite_RGB.tif,3814.383870884774,8534423.447800556,1765.0660296639232,1092722.2251956286,984.0188468792867,47046.91073551531,3
Control_C18,005001_r02c02f12_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c02f12_Composite_RGB.tif,2679.405039437586,6785901.75707949,1825.1273799725652,1620710.017829773,737.8601328875171,31548.65256837104,3
Control_C18,005001_r02c02f13_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c02f13_Composite_RGB.tif,3894.183320473251,8649427.440464457,1943.8239814814815,1494649.3511376386,788.4527777777778,21207.129697761076,3
Control_C18,005001_r02c02f14_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c02f14_Composite_RGB.tif,3212.770434670782,6596714.522014791,1788.4876740397806,1338090.460910825,798.3995481824417,31967.424824520735,3
Control_C18,005001_r02c02f15_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c02f15_Composite_RGB.tif,3145.5269624485595,6495951.950052737,1698.360582133059,922760.5465417929,780.0643621399176,28805.457566670528,3
Control_C18,005001_r02c03f01_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c03f01_Composite_RGB.tif,4822.66188957476,13799563.842707653,2112.77,1791604.7208231313,1026.448640260631,41479.0814826809,3
Control_C18,005001_r02c03f02_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c03f02_Composite_RGB.tif,3822.6574305555555,13105709.329065053,1508.269202674897,1638600.6249841691,916.6520353223594,27410.78278494641,3
Control_C18,005001_r02c03f03_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c03f03_Composite_RGB.tif,5894.707962962963,22395510.657806057,2257.3459670781895,2721282.6446448104,1368.0758401920439,52597.74030081031,3
Control_C18,005001_r02c03f04_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\Control_C18\005001_r02c03f04_Composite_RGB.tif,5533.000943072702,20827558.933999747,2359.7503257887515,2867112.663494493,1311.4435896776406,58712.325619180556,3
