"gene","cluster_id","z_group","Raw HVG
Control","Raw HVG
SNCA","Denoised
Control","Denoised
SNCA"
"NTRK2",1,"High z",1,0.943001720080827,0.902853530878691,0.795604979089983
"IGFBP5",1,"High z",0.977058241924922,0.952915254885567,0.925305331867591,0.738144707942328
"TMSB4X",1,"High z",0.987809595375592,0.899253493381865,0.943789426935346,0.741563271306895
"MARCH3",1,"High z",0.957973427994771,0.936795715888339,0.894076283611577,0.785294814775863
"PTN",2,"High z",0.991002742640196,0.808239379097651,1,0.954142863965548
"NKAIN3",3,"High z",0.915767170828995,1,0.830971162099076,0.715935552141428
"MIR100HG",1,"High z",0.95099166712298,0.901328511202653,0.827557293511494,0.812715732739319
"COL25A1",1,"High z",0.958921173307539,0.879746145617506,0.89318450709515,0.735177733413045
"FMN1",2,"High z",0.954183584919443,0.833004262012832,0.870858563012704,0.829153123681118
"PLXDC2",3,"High z",0.915993529080531,0.913265918671383,0.861982705520479,0.769531677001339
"PCDH11X",2,"High z",0.937896331904931,0.827037939764132,0.874987807612187,0.77491884637844
"ADAMTS3",3,"High z",0.877133752091511,0.970985408640466,0.860934745938755,0.820538569882851
"ZNF385D",2,"High z",0.914502704558744,0.863895052221019,0.892471072492976,0.956301773108465
"RORB",4,"High z",0.99259496006609,0.655342465079076,0.896596434273005,0.756037800465089
"GPR22",3,"High z",0.886220851624651,0.922741765329633,0.760813702389521,0.780828239818656
"NEUROD1",2,"High z",0.945121388995987,0.761513071879294,0.88691308422458,0.754412616436272
"CRABP1",2,"High z",0.93556712237943,0.781485363989317,0.866106460616596,0.777957855243072
"CADM2",3,"High z",0.87914025953698,0.92243783872078,0.900048327713175,0.85898276984898
"TIMP3",2,"High z",0.906764698043824,0.849376510528325,0.802873540787914,0.775283787670481
"ADGRL2",2,"High z",0.91117066055545,0.833048129947939,0.882075559800474,0.731783750416603
"NFIA",2,"High z",0.904812120716161,0.842195942652845,0.78452079212998,1
"PITPNC1",2,"High z",0.908099818179466,0.82256030798441,0.756411924031432,0.790371115920855
"FSTL5",4,"High z",0.975895424890329,0.639465031654128,0.910654449888499,0.810538866463413
"C1orf61",2,"High z",0.889376627160238,0.865834902627515,0.865492439581488,0.764563214018417
"PDE1C",2,"High z",0.942428853054762,0.724947039363231,0.930424427647308,0.825981361064128
"PHOX2B",5,"Low z",4.48488525545677e-05,0,0.318004145110603,0.538064256167158
"HAND2",5,"Low z",0.000461028120069354,0,0.0899255630038,0.519547896168853
"TMEM190",5,"Low z",0.0028073363826214,0,0.526850868067887,0.0340370622282982
"PPDPFL",5,"Low z",0.01837220040542,0,0.542792519734932,0.664364832526086
"AC010478.1",5,"Low z",0.0247811065289657,0,0.596396448987551,0.763223064566524
"AL449363.2",5,"Low z",0.0157271987492959,0.0343598538154968,0.688243070389023,0.668569430329765
"DIAPH3-AS1",5,"Low z",0.0140015304698425,0.0441299247656026,0.197582958278636,0.619570357292547
"AC016044.1",5,"Low z",0.0285677118000623,0.0158437961622261,0.402015946471719,0.451584154353622
"AC079790.2",5,"Low z",0.0295936189860105,0.0152047380963549,0.6595409342559,0.6809394082716
"LINC02163",5,"Low z",0.0187695852512157,0.0436775141639718,0.369863054966196,0.778840333607907
"LAPTM5",5,"Low z",0.0147574108054559,0.0590258759304035,0.725894235077538,0.95144054367163
"LINC00348",5,"Low z",0.0255406906375983,0.034429815293433,0.715569550367499,0.599089495755926
"TFAP2A-AS1",5,"Low z",0.0393319480950933,0,0.317946177293955,0.689814869540661
"TFAP2A",5,"Low z",0.0197990382597219,0.0556920853227109,0.526944926021913,0.717937272310413
"AC020584.1",6,"Low z",0,0.110726719534275,0.4148428405395,0.690750239953392
"AL121578.3",5,"Low z",0.0370069573488686,0.0212764498501868,0.656600769641761,0.779021338808225
"LUM",5,"Low z",0.0455374627662264,0,0,0
"MYOM3",6,"Low z",0.0158268205665588,0.0783031825991525,0.0114887941495819,0.648785139155785
"SLC18A3",6,"Low z",0.00727330583125966,0.104854586746141,0.570740116935794,0.685237929385557
"LAMC3",6,"Low z",0.00127200732963498,0.125982760960238,0.300872784173681,0.730193894388731
"SHOX",6,"Low z",0.0174680713806387,0.0846128012423772,0.153447217320535,0.62160418352676
"ACAN",6,"Low z",0.0088928382808822,0.107612379442251,0.296163058065757,0.728231465181575
"PITX1",5,"Low z",0.039448269752814,0.0384657383139934,0.434232301991773,0.644392104960568
"PTGER2",5,"Low z",0.054884033430492,0,0.654844262454763,0.74050315550117
"LMX1B",6,"Low z",0.0209700182466329,0.0916579920782741,0.465866904045289,0.784482551458267
